cliente_id,nombre_cliente,es_empresa,segmento,nif,provincia,email,telefono,fecha_alta
2650,Cirino Lucas Monreal S.A.,True,Fabricante Grande,C-29848429,Alicante,cirino.lucas.monreal@outlook.es,+34927 42 68 74,2022-01-12
1017,roda y asociados s.coop.,True,Taller/Pequeña Empresa,A39557077,BARCELONA,roda.y.asociados.s.c@gmail.com,+34 807106513,2021-08-07
2263,Arranz y Mate S.A.,True,Taller/Pequeña Empresa,r57848816,Alicante,arranz.y.mate.s.a.@gmail.com,+34 924 973 711,2021-06-11
1149,Comercializadora ULY S.Com.,True,Taller/Pequeña Empresa,Q 39801436,BARCELONA,comercializadora.uly@gmail.com,+34946 91 25 17,2023-03-06
1807,Rodolfo Guzmán Azorin,False,Consumidor Final,C54923454,Castellon,rodolfo.guzmán.azori@empresa.es,+34 924 69 06 74,2022-02-13
2926,BANCA PRIVADA VERDEJO S.C.P,True,Taller/Pequeña Empresa,N-67912960,Malaga,banca.privada.verdej@hotmail.com,+34 978292543,2025-06-15
1093,SOLUCIONES CABEZA S.L.L.,True,Taller/Pequeña Empresa,K32329103,Barna,soluciones.cabeza.s.@gmail.com,+34946 405 377,2025-12-18
3644,Escrivá & Asociados S.Com.,True,Fabricante Grande,E-63435899,ZARAGOZA,escrivá.&.asociados.@outlook.es,,2025-01-22
1291,grupo carreño s.l.n.e,True,Fabricante Grande,U 30854365,BARCELONA,grupo.carreño.s.l.n.@outlook.es,+34972 223 320,2022-12-07
4077,Hnos Quevedo S.L.,True,Distribuidor Mediano,F 643034,CASTELLON,hnos.quevedo.s.l.@empresa.es,+34800 31 57 58,2022-05-28
4592,leandro hoyos montoya s.com. SL,True,Distribuidor Mediano,F 24404851,Alacant,leandro.hoyos.montoy@outlook.es,+34 974 95 02 09,2023-03-28
3313,Alimentación Cabello S.A.U,True,Taller/Pequeña Empresa,H12247218,Comunidad de Madrid,alimentación.cabello@outlook.es,+34848 53 20 83,2024-06-08
3344,Lisandro Echeverría Campos,False,Consumidor Final,q13445730,CASTELLON,lisandro.echeverría.@empresa.es,+34974 735 166,2023-06-03
2094,Logística VHHP S.A.D  ,True,Distribuidor Mediano,M-31248616,valencia,logística.vhhp.s.a.d@hotmail.com,+34 824 735 984,2023-09-13
3922,Juanita Soria Francisco,False,Consumidor Final,b16517633,BARCELONA,juanita.soria.franci@hotmail.com,+34 984 33 06 14,2021-12-11
4462,Talleres Iberia S.Com.,True,Taller/Pequeña Empresa,f40090457,ZARAGOZA,talleres.iberia.s.co@gmail.com,+34 823 87 77 95,2024-03-15
1932,Ale Mohamed Sales Arnau,False,Consumidor Final,e78274190,BILBAO,ale.mohamed.sales.aroutlook.es,+34926 277 402,2022-07-22
1940,Fábrica QU S.Com.,True,Taller/Pequeña Empresa,F-68969458,Zaragoza,fábrica.qu.s.com.@hotmail.com,+34946 981 528,2023-05-08
3948,Desarrollo AH S.C.P,True,Taller/Pequeña Empresa,f76492451,Alacant,desarrollo.ah.s.c.p@hotmail.com,+34 881 79 79 00,2023-05-03
3884,Fábrica Prieto y asociados S.Com.,True,Distribuidor Mediano,H 36618901,Zaragoza,fábrica.prieto.y.aso@hotmail.com,+34 976 74 07 03,2022-10-24
4194,Manufacturas Osuna y asociados S.L.N.E,True,Taller/Pequeña Empresa,C-48416466,Madrid,manufacturas.osuna.y@hotmail.com,+34928 37 23 76,2022-11-15
2551,Asensio y Serra S.Coop.,True,Taller/Pequeña Empresa,G-53836805,ZARAGOZA,asensio.y.serra.s.co@outlook.es,+34848548242,2021-03-17
1700,Arranz & Asociados S.A.D,True,Taller/Pequeña Empresa,w81500378,Alacant,arranz.&.asociados.s@gmail.com,+34 887 23 42 58,2021-11-29
1120,Ana Sofía Murcia Busquets,False,Consumidor Final,e38553319,valencia,ana.sofía.murcia.bus@empresa.es,+34942 44 92 51,2023-11-06
2011,Gerónimo Mateo Quintana Iñiguez,False,Consumidor Final,A-52481963,BARCELONA,gerónimo.mateo.quint@outlook.es,+34 988 31 92 13,2022-02-08
1965,Daniel Vicente Berenguer S.A.U,True,Taller/Pequeña Empresa,Q-30889845,ALICANTE,daniel.vicente.beren@outlook.es,+34921 956 164,2021-04-27
1170,Inmobiliaria Cervantes & Asociados S.Coop.,True,Taller/Pequeña Empresa,E84040798,MADRID,inmobiliaria.cervant@gmail.com ,+34879 30 83 30,2021-01-27
3540,Díaz y asociados S.Coop.,True,Taller/Pequeña Empresa,P 11027542,SEVILLA,díaz.y.asociados.s.c@gmail.com,+34876 57 33 81,2025-08-17
2671,Úrsula Bravo-Peña,False,Consumidor Final,S 35539836,Zaragoza,úrsula.bravo-peña@hotmail.com,+34 875 957 875,2025-02-15
1351,Alma Bonilla Beltrán,False,Consumidor Final,V 73697356,VALENCIA,alma.bonilla.beltrán@hotmail.com,+34 807248193,2025-09-26
2600,Grupo Moya S.L.L.,True,Distribuidor Mediano,V 66334691,Bilbao,grupo.moya.s.l.l.,+34971 60 22 06,2024-08-14
1183,Jonatan Angulo Madrid,False,Consumidor Final,B-63765155,madrid,jonatan.angulo.madri@hotmail.com,+34946226567,2025-07-01
4516,Construcción Carranza y asociados S.A.T.,True,Taller/Pequeña Empresa,d45675021,Sevilla,construcción.carranz@outlook.es,+34 988503446,2024-07-16
1705,Ana Sofía Carina Verdugo Pons,False,Consumidor Final,M64627534,Valencia,ana.sofía.carina.ver@outlook.es,,2024-10-25
3789,Aurelio Vargas Hernando,False,Consumidor Final,V-34223703,CASTELLON,aurelio.vargas.herna@outlook.es,+34 819754247,2021-09-21
1889,Peral & Asociados S.L.,True,Distribuidor Mediano,a23445578,sevilla,peral.&.asociados.s.@outlook.es,+34830 50 53 79,2025-01-26
1787,SERVICIOS SASTRE S.A.,True,Taller/Pequeña Empresa,U-233323,Comunidad de Madrid,servicios.sastre.s.a@hotmail.com,+34 882 62 83 14,2026-03-22
3582,Inversiones Torre S.Com.,True,Taller/Pequeña Empresa,R 43407750,Murcia,inversiones.torre.s.@outlook.es,+34 875 410 341,2022-02-10
3260,FAMILIA CHECA S.L.U.,True,Taller/Pequeña Empresa,L 79761721,murcia,familia.checa.s.l.u.@empresa.es,+34 958159474,2024-12-02
3084,farmaceútica wo s.coop.,True,Taller/Pequeña Empresa,g81115416,valencia,farmaceútica.wo.s.co@gmail.com,,2024-02-18
1026,Construcción Cañizares y asociados S.A.,True,Distribuidor Mediano,S 85863473,BARCELONA,construcción.cañizar@hotmail,,2021-02-10
1925,Noemí Villaverde Seguí S.L.L.  ,True,Fabricante Grande,N-23146204,SEVILLA,noemí.villaverde.seg@outlook.es,+34 823 04 15 91,2025-03-23
2411,AZORIN Y ASOCIADOS S.COOP.,True,Distribuidor Mediano,a22292455,VALENCIA,azorin.y.asociados.s@empresa.es,,2021-07-21
1746,puig y asociados s.a.,True,Taller/Pequeña Empresa,q74037945,Barna,puig.y.asociados.s.a@outlook.es ,+34 971689627,2020-08-11
2891,Sancho y asociados S.L.N.E,True,Taller/Pequeña Empresa,G11638103,Valencia (VLC),sancho.y.asociados.s@gmail.com,+34705 356 707,2023-05-17
2255,Comercializadora XGX S.L.,True,Taller/Pequeña Empresa,F 25003358,Barcelona,comercializadora.xgx@outlook.es,+34709456534,2022-12-17
3795,Royo y Gomila S.A.,True,Taller/Pequeña Empresa,k65515109,Sevilla,royo.y.gomila.s.a.@outlook.es,+34 981 098 348,2022-01-21
3785,fábrica del sur s.a.,True,Distribuidor Mediano,j70105652,Barcelona,fábrica.del.sur.s.a.@outlook.es,+34 987756798,2021-03-19
1109,Echevarría y Castelló S.Com.,True,Distribuidor Mediano,L-16788532,Barna,echevarría.y.castell@empresa.es,+34 878885160,2023-01-03
2738,Restauración Ibérica S.A.T.,True,Taller/Pequeña Empresa,P45806372,Alacant,restauración.ibérica@outlook.es,+34978 618 518,2025-09-30
2921,Hnos Toro S.L.N.E,True,Fabricante Grande,k73038907,Málaga,hnos.toro.s.l.n.e@gmail.com,+34974247925,2024-06-24
3571,Estefanía Linares Reyes,False,Consumidor Final,r98427126,ZARAGOZA,estefanía.linares.re@gmail.com,+34 943 289 735,2021-01-26
2330,Finanzas Escribano y asociados S.A.,True,Taller/Pequeña Empresa,N99597988,Barna,finanzas.escribano.y@gmail.com,+34705 595 501,2023-04-10
1534,Giménez y Beltrán S.Coop.,True,Taller/Pequeña Empresa,W-40992396,Madrid,giménez.y.beltrán.s.@empresa.es,+34978062397,2021-07-09
2938,Desarrollo Folch & Asociados S.Com.,True,Taller/Pequeña Empresa,L-21749199,Malaga,desarrollo.folch.&.a@outlook.es,+34 886 413 727,2023-03-14
2475,Juliá y asociados S.Coop.,True,Taller/Pequeña Empresa,h55282739,Alacant,juliá.y.asociados.s.@gmail.com,,2022-01-09
3858,Castilla y Salmerón S.L.N.E,True,Fabricante Grande,H 23940174,madrid,castilla.y.salmerón.@hotmail.com,+34 823 16 62 86,2023-01-01
2924,Pablo y Bustos S.Com.,True,Taller/Pequeña Empresa,Q62781957,SEVILLA,pablo.y.bustos.s.com@outlook.es,+34807257846,2022-01-29
1457,Talleres Sans S.A.,True,Taller/Pequeña Empresa,R-35523849,SEVILLA,talleres.sans.s.a.@empresa.es,+34 981 12 98 26,2022-11-16
1450,Farmaceútica RHB S.Com.,True,Taller/Pequeña Empresa,j21655844,Málaga,farmaceútica.rhb.s.c@hotmail.com,+34947 647 423,2021-02-10
2786,Grupo Álvarez S.Coop.,True,Taller/Pequeña Empresa,V 77598694,Madrid,grupo.álvarez.s.coop@gmail.com,,2024-10-27
2237,Servicios Carreras y asociados S.Coop.,True,Taller/Pequeña Empresa,j468788,Castellon,servicios.carreras.y@hotmail.com,+34 972 986 321,2020-09-26
2499,Ana Isaura Blázquez Rosado,False,Consumidor Final,E 55821856,ZARAGOZA,ana.isaura.blázquez.@gmail.com,+34949906322,2025-06-11
2467,grupo aguado s.l.n.e,True,Taller/Pequeña Empresa,P57128455,sevilla,grupo.aguado.s.l.n.e@empresa.es,+34 803245393,2020-11-30
3098,Galindo y Arellano S.A.,True,Taller/Pequeña Empresa,D80245541,ALICANTE,galindo.y.arellano.s@empresa.es,+34 824 585 423,2021-10-19
3131,CONSULTORÍA NP S.A.T.,True,Fabricante Grande,k35826028,Alicante,consultoría.np.s.a.t@outlook.es,+34 826332528,2022-09-04
1184,Peña y Bernat S.L.  ,True,Taller/Pequeña Empresa,W93650068,BILBAO,peña.y.bernat.s.l.@empresa.es,+34 988 251 286,2023-07-16
3202,TAPIA & ASOCIADOS S.COM.,True,Taller/Pequeña Empresa,G-11294689,Barna,tapia.&.asociados.s.@hotmail.com,+34821 902 231,2024-05-18
2270,Hermanos Cerro S.Com.,True,Taller/Pequeña Empresa,v36145447,Malaga,hermanos.cerro.s.com@gmail.com,+34880 733 777,2021-09-23
1990,fábrica rebollo & asociados s.coop.,True,Taller/Pequeña Empresa,D24549320,ZARAGOZA,fábrica.rebollo.&.as@hotmail.com,+34 921 456 676,2022-10-16
1869,Inés Perea Elorza,False,Consumidor Final,H-99255596,SEVILLA,inés.perea.elorza@outlook.es,+34847866464,2024-07-14
1179,Ricart y asociados S.L.,True,Distribuidor Mediano,P-92594562,Castellon,ricart.y.asociados.s@empresa.es,+34 876391878,2024-07-17
1033,Alejo Camps-Rovira,False,Consumidor Final,P-29876811,BARCELONA,alejo.camps-rovira@gmail.com,+34924 56 98 16,2025-09-01
3847,CONSULTORÍA CARRANZA S.COOP.,True,Taller/Pequeña Empresa,N-31302349,Valencia (VLC),consultoría.carranza@outlook.es,+34 806181123,2025-07-12
3822,Hernando Estevez Domínguez S.L.N.E,True,Taller/Pequeña Empresa,D-21835886,Valencia (VLC),hernando.estevez.dom@outlook.es,+34873 48 74 93,2023-12-09
1691,Construcción CCSU S.Coop.,True,Taller/Pequeña Empresa,A 88378721,Valencia,construcción.ccsu.s.@outlook.es,+34 947 399 076,2023-03-02
3843,Constanza Galiano-Checa,False,Consumidor Final,w15489895,Zaragoza,constanza.galiano-ch@outlook.es,+34821349522,2020-09-27
2334,Sebastian Grande Izquierdo,False,Consumidor Final,j43380094,Castellon,sebastian.grande.izq@gmail.com,+34 944 40 83 03,2025-12-21
3126,ALFONSO Y ASOCIADOS S.L.N.E,True,Taller/Pequeña Empresa,C47513650,Málaga,alfonso.y.asociados.@gmail.com,+34843 241 142,2020-08-27
1439,Industrias Ibéricos S.A.,True,Distribuidor Mediano,p97138408,murcia,industrias.ibéricos.@hotmail.com,+34 955 91 16 65,2022-07-02
3232,Teresa Anaya Méndez,False,Consumidor Final,Q36040674,Murcia,teresa.anaya.méndez@hotmail.com,,2026-01-27
4448,Renata Vila Bárcena S.A.T.,True,Taller/Pequeña Empresa,q65326443,BARCELONA,renata.vila.bárcena.@outlook.es,+34887995043,2025-10-29
4537,Ricart y asociados S.L. SL,True,Distribuidor Mediano,P-92594562,Castellon,ricart.y.asociados.s@empresa.es,+34 876391878,2024-07-17
4271,Inmobiliaria Roman S.Com.,True,Fabricante Grande,B-23691162,MADRID,inmobiliaria.roman.s@empresa.es,+34847 396 749,2025-12-17
2135,Transportes FDFT S.L.,True,Distribuidor Mediano,C97135770,ALICANTE,transportes.fdft.s.l,+34 803919191,2021-03-04
1196,BANCA PRIVADA JULIÁN S.COOP.,True,Taller/Pequeña Empresa,H-88763056,Alacant,banca.privada.julián@gmail.com,+34 948423536,2023-10-10
2377,Supermercados del Noroeste S.A.,True,Taller/Pequeña Empresa,C34760262,Madrid,supermercados.del.no@empresa.es,+34971 45 49 30,2021-08-17
2055,Tamarit y Alberola S.Com.,True,Taller/Pequeña Empresa,E70937796,Alacant,tamarit.y.alberola.s@empresa.es,+34920 572 773,2023-07-23
4509,Nereida Robles Diaz S.A.,True,Taller/Pequeña Empresa,N 33535297,Bizkaia,nereida.robles.diaz.@hotmail.com,+34 812 169 797,2021-07-16
3483,hnos pedraza s.l.,True,Distribuidor Mediano,M 19677366,Zaragoza,hnos.pedraza.s.l.@empresa.es,+34983029335,2023-08-19
3259,COMERCIAL INTEGRALES S.L.,True,Taller/Pequeña Empresa,B-92880952,Alicante,comercial.integrales@hotmail.com,+34971661366,2021-06-23
4139,Despacho UZJ S.A.,True,Distribuidor Mediano,w33105395,Alacant,despacho.uzj.s.a.@hotmail.com,,2025-05-26
1544,Desarrollo Internacionales S.A.U,True,Taller/Pequeña Empresa,n31461370,Sevilla,desarrollo.internaci@gmail.com,+34 828 79 33 55,2025-08-29
4470,Hotel QLOR S.L.,True,Fabricante Grande,k97820518,Sevilla,hotel.qlor.s.l.@hotmail.com,+34 843 118 572,2021-10-26
1443,Hermanos Domínguez S.A.  ,True,Taller/Pequeña Empresa,P 81954780,ZARAGOZA,hermanos.domínguez.s@hotmail.com,+34 873940701,2022-09-25
2037,Despacho del Levante S.A.,True,Taller/Pequeña Empresa,W52781724,Alacant,despacho.del.levante@outlook.es,+34 847517863,2025-09-29
1070,Iniesta y asociados S.A.,True,Taller/Pequeña Empresa,B 34744872,Murcia,iniesta.y.asociados.@outlook.es,+34945 80 87 60,2021-07-29
1874,Herranz y Posada S.A.,True,Fabricante Grande,W-50296396,Murcia,herranz.y.posada.s.a@empresa.es,,2024-03-15
2644,BARTOLOMÉ Y ROSA S.A.D,True,Distribuidor Mediano,c20313372,ZARAGOZA,bartolomé.y.rosa.s.a,+34886 21 25 45,2020-08-16
2432,transportes gytc s.a.,True,Taller/Pequeña Empresa,A 94969193,CASTELLON,transportes.gytc.s.a@hotmail.com,,2024-07-08
2221,Elisa Larrañaga Bautista S.Coop.,True,Distribuidor Mediano,H 33912234,SEVILLA,elisa.larrañaga.baut@hotmail.com,,2024-12-19
2474,ONOFRE AMADOR DALMAU S.L.,True,Taller/Pequeña Empresa,U43843856,Murcia,onofre.amador.dalmau@gmail.com,+34945 81 72 25,2023-04-05
1803,Perelló y Martínez S.Com.,True,Taller/Pequeña Empresa,V-98562013,Zaragoza,perelló.y.martínez.s@gmail.com,+34 868 417 722,2022-07-13
1594,Maximiliano Frutos Revilla,False,Consumidor Final,h45064728,MALAGA,maximiliano.frutos.r@empresa.es,+34884 424 936,2021-11-13
3285,Haroldo Lozano Dueñas S.L.N.E,True,Taller/Pequeña Empresa,K-22598111,CASTELLON,haroldo.lozano.dueña@outlook.es,+34 872 90 77 37,2025-09-17
2922,Desarrollo Corral & Asociados S.Coop.,True,Taller/Pequeña Empresa,J82640278,MADRID,desarrollo.corral.&.@outlook.es,+34 879458192,2024-09-23
2117,Daniel Blanca Bustamante,False,Consumidor Final,R 93466217,Bizkaia,daniel.blanca.bustam@gmail.com,+34945 49 13 34,2021-07-23
1270,Josep Hernán Tello Barrera,False,Consumidor Final,c56785209,BARCELONA,josep.hernán.tello.b@gmail.com,+34823 46 26 38,2021-12-06
1358,Eulalia Maza Corominas,False,Consumidor Final,N 90535106,Bilbao,eulalia.maza.coromin@empresa.es,+34 928562053,2025-01-05
3183,Promociones Saldaña & Asociados S.A.,True,Taller/Pequeña Empresa,C962775,Málaga,promociones.saldaña.@gmail.com,+34 920276136,2024-04-25
2598,Alimentación Aragón S.Coop.,True,Distribuidor Mediano,N51636644,sevilla,alimentación.aragón.@gmail.com,+34922 51 07 40,2024-04-29
2258,Construcción del Norte S.Com.,True,Distribuidor Mediano,K-49086658,MADRID,construcción.del.nor,+34923 397 054,2023-09-04
3399,Barco y asociados S.L.,True,Taller/Pequeña Empresa,j64162221,Alacant,barco.y.asociados.s.@gmail.com,+34821 28 65 58,2025-04-28
1781,Farmaceútica ZHW S.Coop.,True,Taller/Pequeña Empresa,R-60641104,Valencia (VLC),farmaceútica.zhw.s.c@empresa.es,+34825 51 82 60,2022-10-05
1927,Inversiones Mercader S.L.,True,Taller/Pequeña Empresa,F 62286305,BILBAO,inversiones.mercader@outlook.es,+34 707 931 102,2023-12-20
2910,Grupo Quirós S.Coop.,True,Taller/Pequeña Empresa,F73142083,Bizkaia,grupo.quirós.s.coop.@outlook.es,+34887 393 332,2022-03-11
2298,Inmobiliaria Vilanova S.L.L.,True,Taller/Pequeña Empresa,P-52530857,MADRID,inmobiliaria.vilanov@empresa.es,+34 981 80 62 20,2023-03-13
1564,MINERÍA CÁRDENAS S.A.,True,Taller/Pequeña Empresa,S-23187101,SEVILLA,minería.cárdenas.s.a@empresa.es,+34927 650 448,2024-03-03
3633,LUCÍA MAYORAL AGULLO S.C.P,True,Distribuidor Mediano,U 13233001,Bcn,lucía.mayoral.agullo@hotmail.com,,2025-06-07
2743,Talleres Sales S.L.N.E,True,Fabricante Grande,B-63302112,Madrid,talleres.sales.s.l.n@empresa.es,,2021-03-03
2366,Báez y asociados S.Coop.,True,Taller/Pequeña Empresa,B48546517,sevilla,báez.y.asociados.s.c@empresa.es,+34 872 35 05 57,2024-11-10
1486,Santana y asociados S.A.  ,True,Fabricante Grande,c62669959,valencia,santana.y.asociados.@empresa.es,+34 977 157 724,2024-11-29
1410,Godofredo Montes Aliaga S.A.,True,Taller/Pequeña Empresa,s60326016,ZARAGOZA,godofredo.montes.ali@outlook.es,+34 987021442,2024-08-10
1527,Cruz y Alcázar S.L.N.E,True,Taller/Pequeña Empresa,H 50577537,MURCIA,cruz.y.alcázar.s.l.n@gmail.com ,+34822002194,2022-11-22
1811,Griselda Zapata Medina,False,Consumidor Final,L60653117,murcia,griselda.zapata.medi@empresa.es,+34 878 35 67 08,2022-12-14
1263,Desarrollo Españolas S.A.,True,Taller/Pequeña Empresa,F 92861016,Malaga,desarrollo.españolas@gmail.com,+34 848 775 618,2022-07-23
1279,Desarrollo Elías & Asociados S.L.N.E,True,Taller/Pequeña Empresa,C 46778269,Zaragoza,desarrollo.elías.&.a@hotmail.com,+34943902959,2021-10-07
3154,Construcción AOI S.Coop.,True,Distribuidor Mediano,n491500,Alicante,construcción.aoi.s.cempresa.es,+34 823004202,2023-07-18
4187,Familia Aroca S.L.N.E,True,Taller/Pequeña Empresa,B376930,ZARAGOZA,familia.aroca.s.l.n.@empresa.es,+34 949325867,2025-11-08
3481,Genoveva Sobrino-Alba,False,Consumidor Final,u20417475,Madrid,genoveva.sobrino-albgmail.com,+34974 42 15 31,2023-12-09
3924,Soluciones Angulo S.A.  ,True,Taller/Pequeña Empresa,M 58601581,MALAGA,soluciones.angulo.s.@empresa.es,+34975068756,2024-11-05
1602,Familia Ballester S.L.,True,Distribuidor Mediano,G98128100,Castellon,familia.ballester.s.gmail.com,,2025-01-12
2517,Marianela Loida Vargas Sanabria,False,Consumidor Final,F 97861865,Madrid,marianela.loida.varg@outlook.es,,2025-09-04
1229,Distribuciones Tovar S.C.P,True,Taller/Pequeña Empresa,B82764376,madrid,distribuciones.tovar@gmail.com,+34865 79 05 07,2021-04-13
1134,Juan José Vera Vera,False,Consumidor Final,L-94183695,MALAGA,juan.josé.vera.vera@outlook.es,+34 726 70 65 40,2022-07-20
3624,Ibañez y Antón S.L.  ,True,Taller/Pequeña Empresa,P42648014,Alacant,ibañez.y.antón.s.l.@gmail.com,+34982292482,2023-06-09
4577,Inversiones Feijoo y asociados S.A. SL,True,Distribuidor Mediano,N34903576,Sevilla,inversiones.feijoo.y@outlook.es,+34 924 49 78 72,2023-12-20
2941,Transportes GJPJ S.L.N.E,True,Taller/Pequeña Empresa,U-97330798,Zaragoza,transportes.gjpj.s.l@empresa.es,+34887 83 74 44,2020-12-11
2896,Banco del Levante S.A.,True,Taller/Pequeña Empresa,R 42431822,BILBAO,banco.del.levante.s.@empresa.es,,2021-02-03
1838,Restauración del Noroeste S.Coop.,True,Taller/Pequeña Empresa,q84170763,Zaragoza,restauración.del.nor@hotmail.com,+34987 87 88 36,2020-12-23
2611,FAMILIA POZO S.COOP.,True,Taller/Pequeña Empresa,M 37402375,Murcia,familia.pozo.s.coop.@outlook.es,+34 941 25 50 32,2024-02-20
1650,Arco y Corbacho S.L.N.E,True,Distribuidor Mediano,n13345404,Sevilla,arco.y.corbacho.s.l.@empresa.es,+34807 84 66 84,2024-08-24
2029,Fanny Malo Galan,False,Consumidor Final,d23880694,BARCELONA,fanny.malo.galan@gmail.com,+34 924 88 41 83,2021-12-25
2456,Manufacturas IEJ S.Com.,True,Taller/Pequeña Empresa,J 84818976,Madrid,manufacturas.iej.s.c@gmail.com,+34986 57 25 62,2026-01-25
2564,Mohamed Valero Andrés,False,Consumidor Final,K77343991,CASTELLON,mohamed.valero.andré@outlook.es,+34943 29 32 88,2025-10-23
4553,CONSULTORÍA DUQUE S.A..,True,Distribuidor Mediano,A24551530,Barna,consultoría.duque.s.@empresa.es,+34943149842,2022-08-21
1051,consultoría armengol y asociados s.coop.,True,Taller/Pequeña Empresa,N66390708,Barna,consultoría.armengol@outlook.es,+34 931850671,2022-12-28
2261,Félix Sans Marcos S.L.L.,True,Taller/Pequeña Empresa,m80241159,Málaga,félix.sans.marcos.s.@outlook.es,+34800495612,2026-01-24
1432,Alimentación Mas & Asociados S.A.T.,True,Taller/Pequeña Empresa,h25882013,Bizkaia,alimentación.mas.&.a@hotmail.com,+34910488899,2021-05-21
2947,Hotel Sarmiento y asociados S.C.P,True,Distribuidor Mediano,P-53474974,MADRID,hotel.sarmiento.y.as@empresa.es,+34 974 066 187,2025-05-06
4327,FABRA Y ASOCIADOS S.L.L.,True,Taller/Pequeña Empresa,A 93035510,MURCIA,fabra.y.asociados.s.@hotmail.com,,2025-10-22
1948,Nilda Alfaro Toledo,False,Consumidor Final,A-672174,Comunidad de Madrid,nilda.alfaro.toledo@gmail.com,+34806 66 26 68,2021-04-16
2373,Grupo Ferrández S.L.L.,True,Taller/Pequeña Empresa,a90548035,ZARAGOZA,grupo.ferrández.s.l.@gmail.com,+34872247073,2024-01-21
1790,Inmobiliaria Avanzadas S.A.,True,Distribuidor Mediano,N77702274,VALENCIA,inmobiliaria.avanzad@hotmail.com,+34876 61 12 84,2023-11-19
4597,construcción baeza s.com..,True,Taller/Pequeña Empresa,v57194493,SEVILLA,construcción.baeza.soutlook.es,+34871 651 460,2022-03-17
