cliente_id,nombre_cliente,es_empresa,segmento,nif,provincia,email,telefono,fecha_alta,nif_valido,email_valido,telefono_valido
1196,Banca Privada Julián S.Coop.,True,Taller/Pequeña Empresa,H88763056,Alicante,banca.privada.julián@gmail.com,+34 948423536,2023-10-10,Válido,Válido,Válido
2377,Supermercados Del Noroeste S.A.,True,Taller/Pequeña Empresa,C34760262,Madrid,supermercados.del.no@empresa.es,+34971 45 49 30,2021-08-17,Válido,Válido,Válido
2055,Tamarit Y Alberola S.Com.,True,Taller/Pequeña Empresa,E70937796,Alicante,tamarit.y.alberola.s@empresa.es,+34920 572 773,2023-07-23,Válido,Válido,Válido
4509,Nereida Robles Diaz S.A.,True,Taller/Pequeña Empresa,N33535297,Bizkaia,nereida.robles.diaz.@hotmail.com,+34 812 169 797,2021-07-16,Válido,Válido,Válido
3483,Hnos Pedraza S.L.,True,Distribuidor Mediano,M19677366,Zaragoza,hnos.pedraza.s.l.@empresa.es,+34983029335,2023-08-19,Válido,Válido,Válido
3259,Comercial Integrales S.L.,True,Taller/Pequeña Empresa,B92880952,Alicante,comercial.integrales@hotmail.com,+34971661366,2021-06-23,Válido,Válido,Válido
4139,Despacho Uzj S.A.,True,Distribuidor Mediano,W33105395,Alicante,despacho.uzj.s.a.@hotmail.com,,2025-05-26,Válido,Válido,Revisar
1544,Desarrollo Internacionales S.A.U,True,Taller/Pequeña Empresa,N31461370,Sevilla,desarrollo.internaci@gmail.com,+34 828 79 33 55,2025-08-29,Válido,Válido,Válido
4470,Hotel Qlor S.L.,True,Fabricante Grande,K97820518,Sevilla,hotel.qlor.s.l.@hotmail.com,+34 843 118 572,2021-10-26,Válido,Válido,Válido
1443,Hermanos Domínguez S.A.,True,Taller/Pequeña Empresa,P81954780,Zaragoza,hermanos.domínguez.s@hotmail.com,+34 873940701,2022-09-25,Válido,Válido,Válido
2037,Despacho Del Levante S.A.,True,Taller/Pequeña Empresa,W52781724,Alicante,despacho.del.levante@outlook.es,+34 847517863,2025-09-29,Válido,Válido,Válido
1070,Iniesta Y Asociados S.A.,True,Taller/Pequeña Empresa,B34744872,Murcia,iniesta.y.asociados.@outlook.es,+34945 80 87 60,2021-07-29,Válido,Válido,Válido
1874,Herranz Y Posada S.A.,True,Fabricante Grande,W50296396,Murcia,herranz.y.posada.s.a@empresa.es,,2024-03-15,Válido,Válido,Revisar
2644,Bartolomé Y Rosa S.A.D,True,Distribuidor Mediano,C20313372,Zaragoza,bartolomé.y.rosa.s.a,+34886 21 25 45,2020-08-16,Válido,Revisar,Válido
2432,Transportes Gytc S.A.,True,Taller/Pequeña Empresa,A94969193,Castellón,transportes.gytc.s.a@hotmail.com,,2024-07-08,Válido,Válido,Revisar
2221,Elisa Larrañaga Bautista S.Coop.,True,Distribuidor Mediano,H33912234,Sevilla,elisa.larrañaga.baut@hotmail.com,,2024-12-19,Válido,Válido,Revisar
2474,Onofre Amador Dalmau S.L.,True,Taller/Pequeña Empresa,U43843856,Murcia,onofre.amador.dalmau@gmail.com,+34945 81 72 25,2023-04-05,Válido,Válido,Válido
1803,Perelló Y Martínez S.Com.,True,Taller/Pequeña Empresa,V98562013,Zaragoza,perelló.y.martínez.s@gmail.com,+34 868 417 722,2022-07-13,Válido,Válido,Válido
1594,Maximiliano Frutos Revilla,False,Consumidor Final,H45064728,Málaga,maximiliano.frutos.r@empresa.es,+34884 424 936,2021-11-13,Válido,Válido,Válido
3285,Haroldo Lozano Dueñas S.L.N.E,True,Taller/Pequeña Empresa,K22598111,Castellón,haroldo.lozano.dueña@outlook.es,+34 872 90 77 37,2025-09-17,Válido,Válido,Válido
2922,Desarrollo Corral & Asociados S.Coop.,True,Taller/Pequeña Empresa,J82640278,Madrid,desarrollo.corral.&.@outlook.es,+34 879458192,2024-09-23,Válido,Válido,Válido
2117,Daniel Blanca Bustamante,False,Consumidor Final,R93466217,Bizkaia,daniel.blanca.bustam@gmail.com,+34945 49 13 34,2021-07-23,Válido,Válido,Válido
1270,Josep Hernán Tello Barrera,False,Consumidor Final,C56785209,Barcelona,josep.hernán.tello.b@gmail.com,+34823 46 26 38,2021-12-06,Válido,Válido,Válido
1358,Eulalia Maza Corominas,False,Consumidor Final,N90535106,Bilbao,eulalia.maza.coromin@empresa.es,+34 928562053,2025-01-05,Válido,Válido,Válido
3183,Promociones Saldaña & Asociados S.A.,True,Taller/Pequeña Empresa,C962775,Málaga,promociones.saldaña.@gmail.com,+34 920276136,2024-04-25,Revisar,Válido,Válido
2598,Alimentación Aragón S.Coop.,True,Distribuidor Mediano,N51636644,Sevilla,alimentación.aragón.@gmail.com,+34922 51 07 40,2024-04-29,Válido,Válido,Válido
2258,Construcción Del Norte S.Com.,True,Distribuidor Mediano,K49086658,Madrid,construcción.del.nor,+34923 397 054,2023-09-04,Válido,Revisar,Válido
3399,Barco Y Asociados S.L.,True,Taller/Pequeña Empresa,J64162221,Alicante,barco.y.asociados.s.@gmail.com,+34821 28 65 58,2025-04-28,Válido,Válido,Válido
1781,Farmaceútica Zhw S.Coop.,True,Taller/Pequeña Empresa,R60641104,Valencia,farmaceútica.zhw.s.c@empresa.es,+34825 51 82 60,2022-10-05,Válido,Válido,Válido
1927,Inversiones Mercader S.L.,True,Taller/Pequeña Empresa,F62286305,Bilbao,inversiones.mercader@outlook.es,+34 707 931 102,2023-12-20,Válido,Válido,Válido
2910,Grupo Quirós S.Coop.,True,Taller/Pequeña Empresa,F73142083,Bizkaia,grupo.quirós.s.coop.@outlook.es,+34887 393 332,2022-03-11,Válido,Válido,Válido
2298,Inmobiliaria Vilanova S.L.L.,True,Taller/Pequeña Empresa,P52530857,Madrid,inmobiliaria.vilanov@empresa.es,+34 981 80 62 20,2023-03-13,Válido,Válido,Válido
1564,Minería Cárdenas S.A.,True,Taller/Pequeña Empresa,S23187101,Sevilla,minería.cárdenas.s.a@empresa.es,+34927 650 448,2024-03-03,Válido,Válido,Válido
3633,Lucía Mayoral Agullo S.C.P,True,Distribuidor Mediano,U13233001,Barcelona,lucía.mayoral.agullo@hotmail.com,,2025-06-07,Válido,Válido,Revisar
2743,Talleres Sales S.L.N.E,True,Fabricante Grande,B63302112,Madrid,talleres.sales.s.l.n@empresa.es,,2021-03-03,Válido,Válido,Revisar
2366,Báez Y Asociados S.Coop.,True,Taller/Pequeña Empresa,B48546517,Sevilla,báez.y.asociados.s.c@empresa.es,+34 872 35 05 57,2024-11-10,Válido,Válido,Válido
1486,Santana Y Asociados S.A.,True,Fabricante Grande,C62669959,Valencia,santana.y.asociados.@empresa.es,+34 977 157 724,2024-11-29,Válido,Válido,Válido
1410,Godofredo Montes Aliaga S.A.,True,Taller/Pequeña Empresa,S60326016,Zaragoza,godofredo.montes.ali@outlook.es,+34 987021442,2024-08-10,Válido,Válido,Válido
1527,Cruz Y Alcázar S.L.N.E,True,Taller/Pequeña Empresa,H50577537,Murcia,cruz.y.alcázar.s.l.n@gmail.com ,+34822002194,2022-11-22,Válido,Válido,Válido
1811,Griselda Zapata Medina,False,Consumidor Final,L60653117,Murcia,griselda.zapata.medi@empresa.es,+34 878 35 67 08,2022-12-14,Válido,Válido,Válido
1263,Desarrollo Españolas S.A.,True,Taller/Pequeña Empresa,F92861016,Málaga,desarrollo.españolas@gmail.com,+34 848 775 618,2022-07-23,Válido,Válido,Válido
1279,Desarrollo Elías & Asociados S.L.N.E,True,Taller/Pequeña Empresa,C46778269,Zaragoza,desarrollo.elías.&.a@hotmail.com,+34943902959,2021-10-07,Válido,Válido,Válido
3154,Construcción Aoi S.Coop.,True,Distribuidor Mediano,N491500,Alicante,construcción.aoi.s.cempresa.es,+34 823004202,2023-07-18,Revisar,Revisar,Válido
4187,Familia Aroca S.L.N.E,True,Taller/Pequeña Empresa,B376930,Zaragoza,familia.aroca.s.l.n.@empresa.es,+34 949325867,2025-11-08,Revisar,Válido,Válido
3481,Genoveva Sobrino-Alba,False,Consumidor Final,U20417475,Madrid,genoveva.sobrino-albgmail.com,+34974 42 15 31,2023-12-09,Válido,Revisar,Válido
3924,Soluciones Angulo S.A.,True,Taller/Pequeña Empresa,M58601581,Málaga,soluciones.angulo.s.@empresa.es,+34975068756,2024-11-05,Válido,Válido,Válido
1602,Familia Ballester S.L.,True,Distribuidor Mediano,G98128100,Castellón,familia.ballester.s.gmail.com,,2025-01-12,Válido,Revisar,Revisar
